2019-07-03 10:35:03.493 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shuizhi.ShuizhiApplicationTests], using SpringBootContextLoader
2019-07-03 10:35:03.520 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.shuizhi.ShuizhiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-07-03 10:35:03.521 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.shuizhi.ShuizhiApplicationTests]: ShuizhiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-07-03 10:35:03.765 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.shuizhi.ShuizhiApplication for test class com.shuizhi.ShuizhiApplicationTests
2019-07-03 10:35:03.891 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-03 10:35:03.930 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e66f1f5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4e50c791, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7530ad9c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@58a9760d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71e9ddb4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@394df057, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4961f6af, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5aebe890, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@65d09a04, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@33c911a1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@75db5df9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@707194ba]
2019-07-03 10:35:04.390 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.16.Final
2019-07-03 10:35:04.503 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Starting ShuizhiApplicationTests on PC201811231606 with PID 6540 (started by Administrator in D:\物联网\水质解析\水质)
2019-07-03 10:35:04.504 [main] INFO  com.shuizhi.ShuizhiApplicationTests - No active profile set, falling back to default profiles: default
2019-07-03 10:35:07.082 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-03 10:35:07.466 [main] INFO  com.shuizhi.ShuizhiApplicationTests - Started ShuizhiApplicationTests in 3.461 seconds (JVM running for 5.417)
